"","partido","proESTADO","fundamentalismo","desconfia"
"1","OUTROS",0.55,0.483658194443645,0.351196331043578
"2","OUTROS",0.6625,0.630758962132789,0.8862557006275
"3","UCR",0.8875,0,0.21875507608886
"4","OUTROS",0.4375,0.630758962132789,0.535059369583922
"5","OUTROS",1,0.483658194443645,0.665781038093094
"6","UCR",0.4375,0.630758962132789,0.535059369583922
"7","UCR",0.55,0.630758962132789,0.376907222836391
"8","OUTROS",0.4375,0,0.316304293495062
"9","PJ",0.8875,0.630758962132789,0.0257108917928123
"10","Kirchnerista",0.775,0,0.569951407132438
"11","PJ",0.8875,0,0.0257108917928123
"12","UCR",0.6625,0,0.359929853699719
"13","PJ",0.6625,1,0.183863038540343
"14","OUTROS",0.55,0.225906638014546,0.351196331043578
"15","OUTROS",0.325,0.225906638014546,0.640070146300281
"16","PJ",0.775,0,0.376907222836391
"17","PJ",0.6625,0.10547400568222,0.0257108917928123
"18","OUTROS",0.4375,0.225906638014546,0.351196331043578
"19","OUTROS",0.325,0.225906638014546,0.640070146300281
"20","OUTROS",0.6625,0.630758962132789,0.772511401255
"21","OUTROS",0.1,0,0.246185554327219
"22","Kirchnerista",0.8875,0,0.235732445225532
"23","Kirchnerista",0.775,0,0.48191799955275
"24","OUTROS",0.4375,0,0.728103553879969
"25","UCR",0.55,0.630758962132789,0.351196331043578
"26","UCR",0.4375,0.483658194443645,0.48191799955275
"27","Kirchnerista",0.8875,0,0.183863038540343
"28","PJ",0.325,1,0.640070146300281
"29","PJ",0.55,0.225906638014546,0.509348477791109
"30","OUTROS",0.55,0.483658194443645,0.439229738623266
"31","OUTROS",0.325,1,0.614359254507469
"32","OUTROS",0.4375,0.493829687019462,0.702392662087157
"33","OUTROS",0.55,0.483658194443645,0.728103553879969
"34","OUTROS",0.55,1,0.351196331043578
"35","OUTROS",0.325,0,0
"36","UCR",0.775,0,0.402618114629203
"37","UCR",0.6625,0.225906638014546,0.0257108917928123
"38","UCR",0.6625,0,0.648803668956422
"39","UCR",0.775,0,0.535059369583922
"40","OUTROS",0.6625,0,0.753814445672781
"41","Kirchnerista",0.55,0,0.402618114629203
"42","Socialista",0.6625,0,0.376907222836391
"43","Kirchnerista",0.775,NA,0.524606260482235
"44","PJ",0.6625,0.225906638014546,0
"45","UCR",0.4375,0,0.728103553879969
"46","Kirchnerista",0.6625,0.225906638014546,0.288873815256703
"47","Socialista",0.6625,0,0.376907222836391
"48","PJ",1,0.0530807061399765,0.402618114629203
"49","Kirchnerista",1,0.483658194443645,0.0257108917928123
"50","UCR",0.6625,0.225906638014546,0.48191799955275
"51","Kirchnerista",0.775,0,0.552036738720594
"52","UCR",0.6625,0.483658194443645,0.376907222836391
"53","UCR",0.6625,0.483658194443645,0.623092777163609
"54","Kirchnerista",0.55,0,0.36817370018025
"55","OUTROS",0.8875,0,1
"56","Socialista",1,0,0.728103553879969
"57","UCR",0.55,0.0530807061399765,0.48191799955275
"58","Kirchnerista",0.6625,0,0.288873815256703
"59","OUTROS",0.2125,0,0.376907222836391
"60","OUTROS",0.55,0.849968756030985,0.921147738176017
"61","OUTROS",0.55,0.483658194443645,0.569951407132438
"62","UCR",0.775,0.10547400568222,0.48191799955275
"63","Kirchnerista",0.6625,0.225906638014546,0.351196331043578
"64","UCR",0.55,0,0.201777706952188
"65","OUTROS",0.6625,0.0530807061399765,0.640070146300281
"66","Kirchnerista",1,0.10547400568222,0.402618114629203
"67","Kirchnerista",0.6625,0.10547400568222,0.351196331043578
